Category,Settings Key,Description,Permission,Data Type,Alias
System,default,Resets all settings to factory defaults when written. Must call commit for settings to persist over power cycle.,W,,
System,commit,"Commits all current sensor settings to non-volatile flash memory, which will persist after the sensor is powered off.",W,,
System,reboot,Resets the sensor.,W,,
System,all,Returns all writable settings.,R,Aggregate,
System,settings,Returns all writable settings but excludes aliases.,R,Aggregate,
System,serial_number,Returns the sensors full serial number.,R,U64,
System,timestamp,Timestamp in microseconds from sensor power. ,R/W,U64,
System,led_mode,"Allows finer-grained control over the sensor LED. 
0: Dynamic - the LED updates based on the status of the device
1: Static - the LED only shows the color specified by the led_rgb setting",R/W,U8,
System,led_rgb,Sets the idle color of the LED on the sensor to the specified RGB color.,R/W,Float Float Float,
System,version_firmware,Returns a string indicating the current firmware version.,R,String,
System,version_hardware,Returns a string indicating the hardware version of the sensor.,R,String,
System,update_rate_sensor,Reads the amount of time taken by the sensors main loop in microseconds.,R,U32,
System,header,"Configures the response header for data returned over a wired connection. The only parameter is a  bitfield that determines which data is prepended to all data responses. The following bits are used: 
0x1: (1 byte) Success/Failure, with non-zero values representing failure. 
0x2: (4 bytes) Timestamp, in microseconds. 
0x4: (1 byte) Command echo—outputs the called command. 
0x8: (1 byte) Additive checksum over returned data, but not including response header. 
0x20: (4 bytes) Serial number. For the full 8 byte serial number the serial_number setting must be read.
0x40: (2 byte) Data length, returns the length of the requested data, not including response header.",R/W,U8,"header_status, header_timestamp, header_echo, header_checksum, header_serial, header_length"
System,header_status,"Alias setting to allow for easy setting of the status field in the header.
Status: Success/Failure, with non-zero values representing failure.",R/W,U8,header
System,header_timestamp,"Alias setting to allow for easy setting of the timestamp field in the header.
Timestamp: time since sensor start in microseconds.",R/W,U8,header
System,header_echo,"Alias setting to allow for easy setting of the command echo field in the header.
Command Echo: Outputs the called command. 
",R/W,U8,header
System,header_checksum,"Alias setting to allow for easy setting of the Checksum field in the header.
Checksum: Additive checksum over returned data, but not including response header.",R/W,U8,header
System,header_serial,Alias setting to allow for easy setting of the Serial Number field in the header.,R/W,U8,header
System,header_length,"Alias setting to allow for easy setting of the Data Length field in the header.
Data Length: Returns the length of the requested data, not including response header.",R/W,U8,header
System,valid_commands,Returns a comma separated list of valid command numbers.,R,String,
Power Management,cpu_speed,"The speed that the sensors main processor is set to run at.
Valid speeds:
48MHz, 96MHz, 144MHz, 192MHz

Requires sensor restart to take effect.
Does not require commit to persist across power cycles.",R/W,U32,
Power Management,cpu_speed_cur,The current speed of the sensor's main processor in MHz.,R,U32,
Power Management,pm_mode,"Sets processor speed and component data rates based on presets.
0: Low Power - CPU = 48MHz, Max ODR = 500Hz
1: Normal - CPU = 96MHz, Max ODR = 1000Hz
2: High Performance - CPU = 144MHz, Max ODR = 1500Hz
3: Turbo - CPU = 192MHz, Max ODR = 2000Hz",W,U8,
Power Management,pm_idle_enabled,"Enables CPU power saving during idle time. 
1: Enabled (Default)
0: Disabled",R/W,U8,
Streaming,stream_slots,Configures data output slots for streaming mode. Accepts a list of up to 16 commands (comma separated U8). Every streaming iteration each command will be executed in the order they were entered. The output data will be put in the order they were called. Unfilled slots will be filled with 255 (0xFF)  for no command.,R/W,String,
Streaming,stream_interval,Time in microseconds between each streaming output. Values lower than 500 will be clamped to 500.,R/W,U64,stream_hz
Streaming,stream_hz,Output rate when streaming in hertz. Max value of 2000. Will clamp to closest microsecond value.,R/W,Float,stream_interval
Streaming,stream_duration,Length of time to stream in seconds. Duration of 0 will stream until stopped.,R/W,Float,
Streaming,stream_delay,Length of time in seconds the sensor will wait after recieving the start streaming command to return the first data packet.,R/W,Float,
Streaming,stream_mode,"Controls how stream duration is handled.
0: Duration - controlled via the stream_duration setting
1: Count - controlled via the stream_count setting",R/W,U8,
Streaming,stream_count,A value greater than 1. Streaming will end after this many samples are output.,R/W,U64,
Streaming,streamable_commands,A comma separated list of all available streaming commands,R,String,
Debug,debug_level,"Bitfield representing the currently active debug levels.
0x1: Error
0x2: Warning
0x4: Information

Default Value: 0x1",R/W,U32,
Debug,debug_module,Bitfield representing the currently enabled debug module. For full list of available modules see the Debug Section of the user manual.,R/W,U32,
Debug,debug_mode,"0: Buffered - All debug messages will be buffered until Command 127 is called.
1: Immediate - All debug messages will be immediately output when generated. Will also immediately output any messages currently buffered when this mode is set.",R/W,U8,
Debug,debug_led,Enable Debug LED event when debug messages are available.,R/W,U8,
Debug,debug_fault,"When set to 1, if a hard fault occurs the sensor will enter a debug state.",R/W,U8,
Debug,debug_wdt,"When set to 1, if a WDT occurs the sensor will enter a debug state.",R/W,U8,
Filter,axis_order,"Configures how the axes map to the physical sensor using XYZ terminology.
Example values:
XYZ
ZYX
Y-XZ
View the ""Axis Management"" section of the user manual for more details.",R/W,String,
Filter,axis_order_c,"Configures how the axes map to the physical sensor using compass direction terminology.
Example values:
NED
ENU
DSW
View the ""Axis Management"" section of the user manual for details.",R/W,String,
Filter,axis_offset_enabled,"If enabled, applied offset will affect the data axes as well instead of only the orientation.",R/W,U8,
Filter,euler_order,The decomposition order used when retrieving orientation as Euler Angles.,R/W,String,
Filter,update_rate_filter,Reads the amount of time taken by the last filter update step in microseconds.,R,U32,
Filter,update_rate_sms,Reads the amount of time taken by the last component manager update in microseconds.,R,U32,
Filter,offset,"The offset quaternion used in the computation of the tared orientation. View the ""Tare and Offset"" section of the user manual for more details.",R/W,Float Float Float Float,
Filter,base_offset,"The reference offset quaternion used when sending the ""Offset with Current Orientation"" command. View the ""Tare and Offset"" section for more details.",R/W,Float Float Float Float,
Filter,tare_quat,"The tare quaternion used in the computation of the tared orientation. View the ""Tare and Offset"" section for more details.
",R/W,Float Float Float Float,
Filter,tare_auto_base,"If enabled, the base_tare will automatically be set when offsetting the sensor with the current orientation so that taring results in the identity orientation. View the ""Tare and Offset"" section for more details.
",R/W,U8,
Filter,base_tare,"The reference tare quaternion used when sending the ""Tare with Current Orientation"" command. View the ""Tare and Offset"" section for more details.
",R/W,Float Float Float Float,
Filter,tare_mat,"The tare value used in the computation of the tared orientation, but in matrix form. View the ""Tare and Offset"" section for more details.
",R/W,Float Float Float Float Float Float Float Float Float,
Filter,running_avg_orient,A smoothing factor in the range 0 to 1. ,R/W,Float,
Filter,filter_mode,"The method of orientation calculation:
0: IMU Mode
1: QGrad3
2: Extended Kalman Filter",R/W,U8,
Filter,filter_mref_mode,"Sets the method for which the sensor will obtain the magnetic reference vector (MRV):
0: Manual - Will only use the MRV currently stored in settings.
1: Semi-Auto - Will use the mrv set by user if it exists, else will attempt to automatically get a new MRV on startup.
2: Auto - Will always attempt to automatically get a new MRV on startup.
3: GPS - Will get MRV via GPS reading and WMM (world magnetic model), WIP.",R/W,U8,
Filter,filter_mref,The magnetic reference as a vector. This should be the expected reading of the magnetometer when the sensor is facing north.,R/W,Float Float Float,
Filter,filter_mref_gps,Sets the magnetic reference vector via the WMM (world magnetic model) at the given GPS location.,W,Double Double,filter_mref
Filter,filter_mref_dip,Sets the magnetic reference vector via the expected magnetic dip.,R/W,Float,filter_mref
Filter,filter_conf_thresholds,"Returns the thresholds used by motionless confidence factor for determining motion based on noise. All values are in units of Standard Deviations:
min: Completely motionless until above this
max: Completely in motion when above this
cap: Controls how much the noise term can grow. Influences settling time back to motionless. ",R/W,Float Float Float,
Filter,heading_vector,"The vector in sensor space that represents the ""needle"" on the compass when using the ""Get Heading"" command.",R/W,Float Float Float,
